Order ID,Order Date,Customer Segment,Region,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Ship Mode,Order Year,Order Month,Profit Margin %
ORD-4801,2024-01-01,Consumer,East,Office Supplies,Storage,Storage Box (Pack Of 5),1,41.62,0.2,33.3,4.85,Standard Class,2024,2024-01,14.56
ORD-3924,2024-01-02,Consumer,South,Technology,Accessories,Laptop Sleeve,3,82.47,0.1,222.67,46.3,Same Day,2024,2024-01,20.79
ORD-2517,2024-01-03,Consumer,East,Office Supplies,Art Supplies,Color Pencil Set,2,33.78,0.0,67.56,5.0,First Class,2024,2024-01,7.4
ORD-5141,2024-01-03,Consumer,East,Furniture,Sofas,2-Seater Sofa,1,1094.2,0.0,1094.2,77.94,Standard Class,2024,2024-01,7.12
ORD-3849,2024-01-03,Consumer,South,Technology,Laptops,Business Laptop 15,3,559.35,0.0,1678.05,264.04,Same Day,2024,2024-01,15.73
ORD-3768,2024-01-04,Consumer,South,Office Supplies,Storage,File Cabinet,4,41.2,0.0,164.8,56.31,Standard Class,2024,2024-01,34.17
ORD-2877,2024-01-04,Corporate,North,Furniture,Sofas,2-Seater Sofa,6,746.74,0.0,4480.44,-237.54,Standard Class,2024,2024-01,-5.3
ORD-2417,2024-01-04,Corporate,East,Office Supplies,Pens,Permanent Marker Pack,7,14.01,0.1,88.26,10.28,Second Class,2024,2024-01,11.65
ORD-4647,2024-01-04,Home Office,West,Technology,Printers,All-In-One Inkjet Printer,2,120.08,0.15,204.14,41.83,Second Class,2024,2024-01,20.49
ORD-1061,2024-01-04,Home Office,West,Technology,Laptops,Business Laptop 15,3,1200.26,0.2,2880.62,-110.84,Second Class,2024,2024-01,-3.85
ORD-3434,2024-01-05,Corporate,North,Technology,Phones,Smartphone Lite,7,733.37,0.0,5133.59,687.22,Second Class,2024,2024-01,13.39
ORD-5196,2024-01-05,Corporate,North,Technology,Laptops,Business Laptop 15,5,560.31,0.0,2801.55,839.24,Standard Class,2024,2024-01,29.96
ORD-1970,2024-01-05,Corporate,South,Furniture,Bookcases,5-Shelf Bookcase,2,367.45,0.0,734.9,-48.58,Standard Class,2024,2024-01,-6.61
ORD-1830,2024-01-06,Home Office,North,Office Supplies,Art Supplies,Marker Set,4,22.78,0.15,77.45,18.69,Second Class,2024,2024-01,24.13
ORD-2757,2024-01-07,Corporate,East,Technology,Laptops,Chromebook Edu,1,720.89,0.4,432.53,14.25,Same Day,2024,2024-01,3.29
ORD-2052,2024-01-07,Corporate,West,Furniture,Bookcases,5-Shelf Bookcase,6,131.83,0.2,632.78,-112.05,Standard Class,2024,2024-01,-17.71
ORD-1665,2024-01-08,Home Office,East,Technology,Phones,Smartphone X12,1,774.14,0.0,774.14,229.97,Standard Class,2024,2024-01,29.71
ORD-4186,2024-01-08,Consumer,South,Technology,Phones,Smartphone X12,7,86.96,0.1,547.85,24.45,First Class,2024,2024-01,4.46
ORD-1306,2024-01-08,Corporate,Central,Office Supplies,Binders,Round Ring Binder,7,21.99,0.15,130.84,11.47,Standard Class,2024,2024-01,8.77
ORD-1748,2024-01-08,Home Office,West,Technology,Accessories,Wireless Mouse,1,71.28,0.1,64.15,-0.28,Standard Class,2024,2024-01,-0.44
ORD-3948,2024-01-09,Consumer,South,Technology,Phones,Smartphone X12,5,276.21,0.0,1381.05,57.45,First Class,2024,2024-01,4.16
ORD-3548,2024-01-10,Consumer,South,Office Supplies,Pens,Highlighter Set,2,3.55,0.0,7.1,1.04,Standard Class,2024,2024-01,14.65
ORD-4013,2024-01-10,Corporate,South,Furniture,Chairs,Mesh Task Chair,7,252.82,0.15,1504.28,-353.87,Standard Class,2024,2024-01,-23.52
ORD-1842,2024-01-10,Consumer,South,Technology,Printers,All-In-One Inkjet Printer,4,298.99,0.0,1195.96,145.87,Standard Class,2024,2024-01,12.2
ORD-3755,2024-01-10,Home Office,South,Technology,Laptops,Ultrabook Pro 14,5,838.36,0.0,4191.8,1024.12,Second Class,2024,2024-01,24.43
ORD-1575,2024-01-10,Consumer,East,Office Supplies,Pens,Gel Pen Pack,3,15.12,0.1,40.82,0.02,First Class,2024,2024-01,0.05
ORD-2228,2024-01-10,Corporate,South,Technology,Laptops,Chromebook Edu,7,504.15,0.0,3529.05,631.43,Standard Class,2024,2024-01,17.89
ORD-3911,2024-01-11,Home Office,East,Technology,Printers,All-In-One Inkjet Printer,7,113.09,0.1,712.47,1.71,Standard Class,2024,2024-01,0.24
ORD-5193,2024-01-11,Corporate,West,Technology,Accessories,Laptop Sleeve,7,55.72,0.2,312.03,-15.19,First Class,2024,2024-01,-4.87
